"","Towns.by.Size","County","TownSize","PersonsPerSqKm","TotalPopulation","AllHouseholds","Household_Income","Avg_Rent","PC_ICTOwnsPC","PC_ICTInternet","PC_HeatingNoCentral","PC_SeweragePublic","PC_SewerageIndSeptic","RentIncomeRatio","PeoplePerHouse"
"80","Clonakilty","C","2K-5K",1337.8,4592,1677,39210,664.48,0.673822301729278,0.763267740011926,0.035778175313059,0.907573047107931,0.0477042337507454,0.203360367253252,2.73822301729278
"81","Carrigtwohill","C","5K-20K",3303.9,5080,1715,53462,821.55,0.732361516034985,0.852478134110787,0.00816326530612245,0.927696793002915,0.0110787172011662,0.184403875649994,2.96209912536443
"82","Cashel","T","2K-5K",1665.6,4422,1689,32804,555.21,0.567791592658378,0.712255772646536,0.0124333925399645,0.939609236234458,0.019538188277087,0.20310084136081,2.61811722912966
"83","Kilcoole","WW","2K-5K",2438.2,4239,1379,54388,1122.27,0.729514140681653,0.841914430746918,0.0108774474256708,0.946337926033358,0.0195794053662074,0.247614179598441,3.07396664249456
"84","Duleek","MH","2K-5K",2329.5,4219,1365,44686,864.27,0.648351648351648,0.80952380952381,0.00659340659340659,0.919413919413919,0.0234432234432234,0.232091482791031,3.09084249084249
"85","Tullow","CW","2K-5K",1057.3,4673,1702,35667,615.3,0.598119858989424,0.734430082256169,0.0123384253819036,0.924206815511163,0.0240893066980024,0.20701488771133,2.74559341950646
"86","Athenry","G","2K-5K",1623.6,4445,1614,44275,676.89,0.710656753407683,0.825278810408922,0.00681536555142503,0.849442379182156,0.0539033457249071,0.18345974025974,2.75402726146221
"87","Dunshaughlin","MH","2K-5K",2251.1,4035,1355,59096,895.55,0.790405904059041,0.881918819188192,0.00590405904059041,0.954981549815498,0.00590405904059041,0.181849871395695,2.97785977859779
"88","Macroom","C","2K-5K",1230.3,3765,1414,40472,654.97,0.61032531824611,0.72984441301273,0.0190947666195191,0.934936350777935,0.0148514851485149,0.194199446530935,2.66265912305516
"89","Monasterevin","KE","2K-5K",1235.2,4246,1488,39970,776.4,0.595430107526882,0.768817204301075,0.0120967741935484,0.907930107526882,0.0342741935483871,0.233094821115837,2.85349462365591
"90","Mitchelstown","C","2K-5K",1323.5,3740,1499,33340,600.14,0.587725150100067,0.71180787191461,0.0166777851901268,0.919279519679786,0.0266844563042028,0.216007198560288,2.49499666444296
"91","Castleblayney","MN","2K-5K",1348.6,3607,1445,31533,527.18,0.566089965397924,0.698269896193772,0.00761245674740484,0.877508650519031,0.0283737024221453,0.200620302540196,2.4961937716263
"92","Cahir","T","2K-5K",1351.3,3593,1392,33167,524.61,0.612068965517241,0.727729885057471,0.0208333333333333,0.890086206896552,0.0488505747126437,0.189806735610697,2.58117816091954
"93","Kilcullen","KE","2K-5K",1964.8,3710,1296,49255,915.14,0.684413580246914,0.834876543209876,0.0115740740740741,0.914351851851852,0.0246913580246914,0.222955639021419,2.86265432098765
"94","Rathcoole","D","2K-5K",3120.7,4351,1550,58034,1166.44,0.743225806451613,0.872903225806452,0.00709677419354839,0.93741935483871,0.0154838709677419,0.241191025950305,2.80709677419355
"95","Claremorris","MO","2K-5K",1111.3,3687,1444,37226,509.92,0.67382271468144,0.794321329639889,0.00761772853185596,0.952908587257618,0.0228531855955679,0.16437543652286,2.55332409972299
"96","Bantry","C","2K-5K",1179,2722,1171,26663,551.02,0.56532877882152,0.644748078565329,0.0426985482493595,0.89069171648164,0.0640478223740393,0.24799309905112,2.32450896669513
"97","Tower","C","2K-5K",1740.3,3421,1134,60548,991.15,0.772486772486772,0.858024691358025,0.00440917107583774,0.901234567901235,0.0520282186948854,0.196435885578384,3.01675485008818
"98","Clara","OY","2K-5K",859.6,3336,1226,35217,566.58,0.553833605220228,0.708809135399674,0.00897226753670473,0.874388254486134,0.0954323001631321,0.193059033989267,2.721044045677
"99","Stamullen","MH","2K-5K",3627.6,3361,1018,62205,964.63,0.777996070726916,0.915520628683694,0.000982318271119843,0.957760314341847,0.00785854616895874,0.186087292018326,3.30157170923379
"100","Kill","KE","2K-5K",2995.1,3348,1129,59066,1065.6,0.765279007971656,0.891939769707706,0.00531443755535872,0.979627989371125,0.00620017714791851,0.216490028104155,2.96545615589017
"101","Rathnew","WW","2K-5K",2896.5,3370,1093,41866,984.45,0.642268984446478,0.818847209515096,0.00914913083257091,0.947849954254346,0.00731930466605672,0.282171690632016,3.0832570905764
"102","Enfield","MH","2K-5K",2506.3,3239,1024,56742,976.15,0.77734375,0.8994140625,0.00390625,0.9580078125,0.005859375,0.206439674315322,3.1630859375
"103","Annacotty","L","2K-5K",1851.7,2930,957,66779,891.72,0.819226750261233,0.917450365726228,0.00313479623824451,0.950888192267503,0.0167189132706374,0.160239596280268,3.06165099268548
"104","Moate","WH","2K-5K",1422.7,2763,1076,38249,563.9,0.642193308550186,0.768587360594796,0.0139405204460967,0.908921933085502,0.0362453531598513,0.176914429135402,2.567843866171
"105","Ballinrobe","MO","2K-5K",1087.7,2786,1035,36043,477,0.658937198067633,0.786473429951691,0.0106280193236715,0.930434782608696,0.0280193236714976,0.15881030990761,2.69178743961353
"106","Kilrush","CE","2K-5K",821.6,2719,1071,29887,457.53,0.509803921568627,0.610644257703081,0.0214752567693744,0.927170868347339,0.0224089635854342,0.183703951550841,2.53874883286648
"107","Skibbereen","C","2K-5K",892.2,2778,1211,28392,520.19,0.652353426919901,0.715937241948803,0.0346820809248555,0.881915772089182,0.0429397192402973,0.219860524091293,2.29397192402973
"108","Kinnegad","WH","2K-5K",2739.9,2745,907,41177,680.63,0.657111356119074,0.820286659316428,0.00771775082690187,0.934950385887541,0.0176405733186329,0.198352478325279,3.02646085997795
"109","Newcastle","G","2K-5K",1451.6,3093,1076,57846,1146.98,0.745353159851301,0.877323420074349,0.00278810408921933,0.845724907063197,0.0836431226765799,0.237937973239291,2.87453531598513
"110","Gort","G","2K-5K",871.3,2994,1142,32133,621.41,0.607705779334501,0.718038528896673,0.010507880910683,0.784588441330998,0.120840630472855,0.232064233031463,2.62171628721541
"111","Donegal","DL","2K-5K",891.4,2618,1019,34278,486.35,0.648675171736997,0.756624141315015,0.00588812561334642,0.886162904808636,0.0480863591756624,0.170260808681953,2.56918547595682
"112","Boyle","RN","2K-5K",679.8,2568,1044,28922,445.01,0.589080459770115,0.709770114942529,0.00862068965517241,0.957854406130268,0.0134099616858238,0.184638683355231,2.45977011494253
"113","Ballyjamesduff","CN","2K-5K",1574.4,2661,884,37235,515.45,0.686651583710407,0.782805429864253,0.0113122171945701,0.849547511312217,0.0294117647058824,0.166117899825433,3.01018099547511
"114","Carndonagh","DL","2K-5K",505.8,2471,966,25498,404.63,0.576604554865424,0.737060041407868,0.005175983436853,0.82815734989648,0.0942028985507246,0.190429053259079,2.55797101449275
"115","Bailieborough","CN","2K-5K",649.6,2683,1049,32142,498.13,0.563393708293613,0.742612011439466,0.0104861773117255,0.824594852240229,0.121067683508103,0.18597349262647,2.55767397521449
"116","Castleisland","KY","2K-5K",731.9,2486,1003,33675,525.05,0.584247258225324,0.698903290129611,0.0279162512462612,0.784646061814556,0.174476570289133,0.187100222717149,2.47856430707876
"117","Sixmilebridge","CE","2K-5K",2114.2,2625,900,48672,620.14,0.715555555555556,0.843333333333333,0.00333333333333333,0.93,0.0333333333333333,0.152894477317554,2.91666666666667
"118","Blarney","C","2K-5K",1370.8,2539,886,51112,839.84,0.704288939051919,0.805869074492099,0.00451467268623025,0.936794582392777,0.0406320541760722,0.197176396932227,2.86568848758465
"119","Newtownmountkennedy","WW","2K-5K",1539.3,2835,913,47665,1139.21,0.687842278203724,0.817086527929901,0.00438116100766703,0.911281489594743,0.0394304490690033,0.286804153991398,3.10514786418401
"120","Athboy","MH","2K-5K",1798,2445,880,39717,681.84,0.694318181818182,0.817045454545455,0.00909090909090909,0.940909090909091,0.0227272727272727,0.206009517335146,2.77840909090909
"121","Rathangan","KE","2K-5K",1007.7,2611,903,44565,812.12,0.642303433001107,0.789590254706534,0.00553709856035437,0.857142857142857,0.08859357696567,0.218679232581622,2.89147286821705
"122","Callan","KK","2K-5K",1188.9,2475,894,37393,659.86,0.605145413870246,0.739373601789709,0.00671140939597315,0.910514541387025,0.0592841163310962,0.211759420212339,2.76845637583893
"123","Kingscourt","CN","2K-5K",1495.7,2499,913,40045,545.92,0.610076670317634,0.773274917853231,0.00219058050383352,0.92552026286966,0.0273822562979189,0.163591959046073,2.73713033953998
"124","Ballyhaunis","MO","2K-5K",969.1,2366,814,32962,470.99,0.627764127764128,0.748157248157248,0.0122850122850123,0.883292383292383,0.0515970515970516,0.171466537224683,2.90663390663391
"125","Virginia","CN","2K-5K",1328.8,2648,1008,36164,587.9,0.675595238095238,0.796626984126984,0.00396825396825397,0.929563492063492,0.0148809523809524,0.195077978099768,2.62698412698413
"126","Thomastown","KK","2K-5K",739.2,2445,898,35307,643.56,0.638084632516704,0.771714922048998,0.010022271714922,0.888641425389755,0.0723830734966592,0.218730563344379,2.72271714922049
"127","Kanturk","C","2K-5K",753.2,2350,966,35004,561.57,0.596273291925466,0.717391304347826,0.020703933747412,0.91304347826087,0.05175983436853,0.192516283853274,2.43271221532091
"128","Kenmare","KY","2K-5K",768.5,2376,913,30898,568.81,0.644030668127054,0.721796276013144,0.0131434830230011,0.820372398685652,0.0876232201533406,0.220911385850217,2.60240963855422
"129","Saggart","D","2K-5K",3274.4,3133,1100,57020,1225.99,0.756363636363636,0.883636363636364,0.00181818181818182,0.907272727272727,0.01,0.258012627148369,2.84818181818182
"130","Bundoran","DL","< 2K",586.6,1963,803,27448,444.42,0.576587795765878,0.692403486924035,0.0087173100871731,0.902864259028643,0.0186799501867995,0.194296123579131,2.44458281444583
"131","Cootehill","CN","< 2K",1002.4,1853,796,28584,478.16,0.5678391959799,0.689698492462312,0.0100502512562814,0.958542713567839,0.0163316582914573,0.200738874895046,2.32788944723618
"132","Crosshaven","C","2K-5K",1273.6,2577,946,51390,866.28,0.73784355179704,0.852008456659619,0.0274841437632135,0.750528541226216,0.161733615221987,0.202283712784588,2.72410147991543
"133","Killorglin","KY","2K-5K",923.9,2199,927,33714,559.63,0.656957928802589,0.737864077669903,0.0215749730312837,0.884573894282632,0.0539374325782093,0.199192027051077,2.37216828478964
"134","Templemore","T","< 2K",875.9,1939,807,32756,514.13,0.57001239157373,0.657992565055762,0.0173482032218092,0.894671623296159,0.0532837670384139,0.188349004762486,2.40272614622057
"135","Baltinglass","WW","2K-5K",800.4,2137,762,38920,745.33,0.628608923884514,0.753280839895013,0.010498687664042,0.927821522309711,0.026246719160105,0.229803699897225,2.80446194225722
"136","Clifden","G","< 2K",674.1,1597,614,30861,527,0.649837133550489,0.726384364820847,0.0325732899022801,0.785016286644951,0.11400651465798,0.204918829590746,2.60097719869707
"137","Abbeyfeale","L","2K-5K",1069.2,2023,849,29095,489.65,0.534746760895171,0.634864546525324,0.0129564193168433,0.891637220259128,0.0683156654888104,0.201952225468294,2.38280329799764
"138","Castlerea","RN","< 2K",868.9,1992,848,28929,411.72,0.579009433962264,0.654481132075472,0.00589622641509434,0.938679245283019,0.0294811320754717,0.170785025407031,2.34905660377358
"139","Castleconnell","L","2K-5K",1296.6,2107,758,47005,801.83,0.700527704485488,0.806068601583113,0.00923482849604222,0.903693931398417,0.0382585751978892,0.204700776513137,2.77968337730871
"140","Ballaghaderreen","RN","< 2K",852.1,1808,749,26299,355.8,0.54739652870494,0.656875834445928,0.0120160213618158,0.919893190921228,0.0200267022696929,0.162348378265333,2.41388518024032
"141","Tubbercurry","SO","< 2K",877.6,1986,798,29493,434.19,0.607769423558897,0.738095238095238,0.0037593984962406,0.906015037593985,0.0513784461152882,0.176661580714068,2.48872180451128
"142","Edgeworthstown","LD","2K-5K",1514.1,2072,727,31320,445.29,0.612104539202201,0.72627235213205,0.0137551581843191,0.883081155433287,0.0412654745529574,0.170609195402299,2.85006877579092
"143","Portlaw","W","< 2K",1757.8,1742,648,35852,536.05,0.58179012345679,0.737654320987654,0.0169753086419753,0.927469135802469,0.0200617283950617,0.17942095280598,2.68827160493827
"144","Mountrath","LS","< 2K",1024.7,1774,700,30465,614.07,0.518571428571429,0.644285714285714,0.0242857142857143,0.898571428571429,0.0457142857142857,0.241878877400295,2.53428571428571
"145","Lifford","DL","< 2K",1347,1626,617,26087,456.22,0.457050243111831,0.690437601296596,0.00810372771474878,0.870340356564019,0.059967585089141,0.209860850231916,2.6353322528363
"146","Banagher","OY","< 2K",961.1,1760,674,34944,547.24,0.587537091988131,0.689910979228487,0.00445103857566766,0.937685459940653,0.0341246290801187,0.187925824175824,2.61127596439169
"147","Kilmallock","L","< 2K",827.2,1668,652,31283,551.76,0.535276073619632,0.648773006134969,0.0245398773006135,0.785276073619632,0.173312883435583,0.211652335134098,2.55828220858896
"148","Strandhill","SO","< 2K",1517.4,1753,659,52537,761.77,0.775417298937785,0.854324734446131,0.00606980273141123,0.895295902883156,0.0561456752655539,0.173996231227516,2.66009104704097
"149","Dunmanway","C","< 2K",910.9,1655,694,34980,618.46,0.569164265129683,0.677233429394813,0.0201729106628242,0.917867435158501,0.0475504322766571,0.212164665523156,2.38472622478386
"150","Millstreet","C","< 2K",762.5,1555,650,38296,577.09,0.633846153846154,0.707692307692308,0.0153846153846154,0.88,0.0738461538461539,0.180830373929392,2.39230769230769
"151","Ballymahon","LD","< 2K",1140.9,1877,729,31424,451.38,0.602194787379973,0.735253772290809,0.0164609053497942,0.883401920438957,0.0260631001371742,0.17237016293279,2.57475994513032
"152","Cloyne","C","< 2K",1909.7,1803,628,46463,757.51,0.68312101910828,0.799363057324841,0.0207006369426752,0.859872611464968,0.0875796178343949,0.195642123840475,2.87101910828025
"153","Dunmore East","W","< 2K",912,1808,673,38977,644.03,0.729569093610698,0.796433878157504,0.025260029717682,0.893016344725111,0.0638930163447251,0.198280011288709,2.68647845468053
"154","Moycullen","G","< 2K",1243.5,1704,593,54153,801.12,0.799325463743676,0.885328836424958,0.00505902192242833,0.809443507588533,0.116357504215852,0.177523682898454,2.87352445193929
"155","Rosslare","WX","< 2K",663.4,1620,551,30998,613.59,0.713248638838475,0.803992740471869,0.0217785843920145,0.921960072595281,0.043557168784029,0.237534034453836,2.94010889292196
"156","Fethard","T","< 2K",1016.5,1545,654,31051,573.8,0.516819571865443,0.665137614678899,0.0397553516819572,0.937308868501529,0.0397553516819572,0.22175131235709,2.36238532110092
"157","Ballymote","SO","< 2K",969.6,1549,660,28297,486.58,0.596969696969697,0.686363636363636,0.0181818181818182,0.933333333333333,0.0196969696969697,0.206345548998127,2.3469696969697
"158","Rathcormac","C","< 2K",2069.4,1762,616,49322,685.23,0.685064935064935,0.850649350649351,0.0178571428571429,0.896103896103896,0.0535714285714286,0.166715867158672,2.86038961038961
"159","Collooney","SO","< 2K",1325.3,1610,632,35660,551.53,0.615506329113924,0.762658227848101,0.0110759493670886,0.895569620253165,0.0300632911392405,0.185596186203029,2.54746835443038
"160","Castlemartyr","C","< 2K",2115.4,1600,571,44087,698.32,0.656742556917688,0.796847635726795,0.0157618213660245,0.887915936952715,0.0595446584938704,0.190075078821421,2.80210157618214
